Team,DATE,Points
Texas Tech Red Raiders,"Fri, Mar 20",91
Texas Tech Red Raiders,"Tue, Nov 4",98
Texas Tech Red Raiders,"Fri, Nov 7",98
Texas Tech Red Raiders,"Tue, Nov 11",77
Texas Tech Red Raiders,"Fri, Nov 14",80
Texas Tech Red Raiders,"Thu, Nov 20",84
Texas Tech Red Raiders,"Fri, Nov 21",56
Texas Tech Red Raiders,"Wed, Nov 26",82
Texas Tech Red Raiders,"Sun, Nov 30",76
Texas Tech Red Raiders,"Sun, Dec 7",82
Texas Tech Red Raiders,"Sat, Dec 13",86
Texas Tech Red Raiders,"Tue, Dec 16",101
Texas Tech Red Raiders,"Sat, Dec 20",82
Texas Tech Red Raiders,"Sun, Dec 28",87
Texas Tech Red Raiders,"Sat, Jan 3",102
Texas Tech Red Raiders,"Tue, Jan 6",65
Texas Tech Red Raiders,"Sat, Jan 10",73
Texas Tech Red Raiders,"Wed, Jan 14",88
Texas Tech Red Raiders,"Sat, Jan 17",84
Texas Tech Red Raiders,"Tue, Jan 20",92
Texas Tech Red Raiders,"Sat, Jan 24",90
Texas Tech Red Raiders,"Sat, Jan 31",80
Texas Tech Red Raiders,"Mon, Feb 2",61
Texas Tech Red Raiders,"Sun, Feb 8",70
Texas Tech Red Raiders,"Wed, Feb 11",78
Texas Tech Red Raiders,"Sat, Feb 14",78
Texas Tech Red Raiders,"Tue, Feb 17",67
Texas Tech Red Raiders,"Sat, Feb 21",100
Texas Tech Red Raiders,"Tue, Feb 24",80
Texas Tech Red Raiders,"Sat, Feb 28",82
Texas Tech Red Raiders,"Tue, Mar 3",65
Texas Tech Red Raiders,"Sat, Mar 7",76
Texas Tech Red Raiders,"Thu, Mar 12",53
Northern Illinois Huskies,"Mon, Nov 3",102
Northern Illinois Huskies,"Fri, Nov 7",72
Northern Illinois Huskies,"Mon, Nov 10",59
Northern Illinois Huskies,"Thu, Nov 13",117
Northern Illinois Huskies,"Tue, Nov 18",57
Northern Illinois Huskies,"Fri, Nov 21",76
Northern Illinois Huskies,"Tue, Nov 25",59
Northern Illinois Huskies,"Tue, Dec 2",64
Northern Illinois Huskies,"Sat, Dec 6",55
Northern Illinois Huskies,"Sat, Dec 13",79
Northern Illinois Huskies,"Tue, Dec 16",112
Northern Illinois Huskies,"Sat, Dec 20",74
Northern Illinois Huskies,"Wed, Dec 31",67
Northern Illinois Huskies,"Sat, Jan 3",73
Northern Illinois Huskies,"Tue, Jan 6",61
Northern Illinois Huskies,"Tue, Jan 13",59
Northern Illinois Huskies,"Sat, Jan 17",70
Northern Illinois Huskies,"Tue, Jan 20",77
Northern Illinois Huskies,"Sat, Jan 24",53
Northern Illinois Huskies,"Tue, Jan 27",85
Northern Illinois Huskies,"Sat, Jan 31",61
Northern Illinois Huskies,"Sat, Feb 7",75
Northern Illinois Huskies,"Wed, Feb 11",52
Northern Illinois Huskies,"Sat, Feb 14",46
Northern Illinois Huskies,"Tue, Feb 17",72
Northern Illinois Huskies,"Sat, Feb 21",66
Northern Illinois Huskies,"Tue, Feb 24",69
